AQS_Site_ID,COUNTYNS,pct_below_median
270530963,00659472,0.32967032967032966
450190048,01252740,0.32967032967032966
120570113,00295757,0.3324175824175824
202090021,00485065,0.3324175824175824
291893001,00758549,0.3324175824175824
060510001,00277290,0.33516483516483514
100010002,00217271,0.33516483516483514
220790002,00559460,0.33516483516483514
300270006,01719614,0.33791208791208793
391530023,01074088,0.33791208791208793
530630047,01529225,0.33791208791208793
060850006,00277307,0.34065934065934067
080050005,00198118,0.34065934065934067
250250002,00606939,0.34065934065934067
340110007,00882275,0.34065934065934067
380171004,01034226,0.34065934065934067
040278011,00023901,0.3434065934065934
480290032,01383800,0.3434065934065934
490495010,01448038,0.3434065934065934
160010010,00395066,0.34615384615384615
371010002,01026327,0.34615384615384615
483031028,01383937,0.34615384615384615
010732003,00161562,0.3489010989010989
011130003,00161583,0.3489010989010989
120330004,00295737,0.3489010989010989
180550001,00451676,0.3489010989010989
340130003,00882276,0.3489010989010989
471631007,01639793,0.3489010989010989
560210001,01605075,0.3489010989010989
060631006,00277296,0.3516483516483517
181670018,00450398,0.3516483516483517
271377001,00662850,0.3516483516483517
481390016,01383856,0.3516483516483517
484391002,01384005,0.3516483516483517
060610006,00277295,0.3543956043956044
290770036,00758493,0.3543956043956044
371190042,01008570,0.3543956043956044
470931020,01639761,0.3543956043956044
471130006,01639769,0.3543956043956044
515200006,01498416,0.3543956043956044
060010011,01675839,0.35714285714285715
132150011,00357428,0.35714285714285715
170311016,01784766,0.35714285714285715
490471004,01448037,0.35714285714285715
060131004,01675903,0.3598901098901099
261390005,01623012,0.3598901098901099
390990005,01074062,0.3598901098901099
350550005,00933056,0.3608815426997245
050010011,00063755,0.3626373626373626
050670001,00066861,0.3626373626373626
060655001,00277297,0.3626373626373626
060250007,00277277,0.36538461538461536
191550009,00465266,0.36538461538461536
200910007,00485010,0.36538461538461536
420290100,01209174,0.36538461538461536
420450002,01209177,0.36538461538461536
371210004,01008571,0.3674033149171271
060811001,00277305,0.36813186813186816
482151046,01383893,0.36813186813186816
010970003,00161575,0.3708791208791209
420770004,01209182,0.3708791208791209
490530007,01448040,0.3708791208791209
010730023,00161562,0.37362637362637363
121275002,00306921,0.37362637362637363
131850003,00326720,0.37362637362637363
191471002,00465262,0.37362637362637363
245100040,01702381,0.37362637362637363
250112005,00606932,0.37362637362637363
511071005,01480141,0.37362637362637363
550430009,01581081,0.37362637362637363
560350101,01605082,0.3756906077348066
350130025,00929109,0.37637362637362637
482011034,01383886,0.37637362637362637
080350004,00198133,0.3791208791208791
180030004,00450402,0.3791208791208791
260810020,01622983,0.3791208791208791
410670004,01155137,0.3791208791208791
060670015,00277298,0.38186813186813184
061113001,00277320,0.38186813186813184
131530001,01671693,0.38461538461538464
190450019,00465211,0.38461538461538464
311530007,00835898,0.38461538461538464
010690003,00161560,0.3873626373626374
181570008,00450393,0.3873626373626374
190450021,00465211,0.3873626373626374
540090005,01558262,0.3873626373626374
300810007,01719582,0.3884297520661157
121056006,00295747,0.3901098901098901
230031011,00581287,0.3901098901098901
370570002,01008548,0.3901098901098901
040139997,00037026,0.39285714285714285
060670006,00277298,0.39285714285714285
180350006,00450347,0.39285714285714285
421010075,01209187,0.39285714285714285
540090011,01558262,0.39285714285714285
190130009,00465196,0.3956043956043956
210670012,00516880,0.3956043956043956
360050133,00974101,0.3956043956043956
420033007,01213657,0.3956043956043956
480271045,01383799,0.3956043956043956
170310001,01784766,0.3983516483516483
180890006,00450495,0.3983516483516483
390610040,01074043,0.3983516483516483
550090005,01581064,0.3983516483516483
360010012,00974099,0.4010989010989011
484391053,01384005,0.4010989010989011
080770017,00198154,0.40384615384615385
100031003,00217270,0.40384615384615385
100031007,00217270,0.40384615384615385
391530017,01074088,0.40384615384615385
271095008,00659500,0.4065934065934066
450450015,01245489,0.4065934065934066
060010012,01675839,0.40934065934065933
080290007,00198130,0.40934065934065933
170650002,00424234,0.40934065934065933
180950011,00450370,0.40934065934065933
211950002,00516944,0.40934065934065933
210373002,00516865,0.41208791208791207
280110002,00695730,0.41208791208791207
490030003,01455966,0.41208791208791207
300830002,01715338,0.4132231404958678
080310027,00198131,0.41483516483516486
250250044,00606939,0.41483516483516486
340190001,00882228,0.41483516483516486
470370023,01639737,0.41483516483516486
490353015,01448031,0.41483516483516486
040134019,00037026,0.4175824175824176
171110001,01784815,0.4175824175824176
010270001,00161539,0.42032967032967034
060530008,00277291,0.42032967032967034
060792006,00277304,0.42032967032967034
120730012,00306916,0.42032967032967034
270052013,00659448,0.42032967032967034
370210034,01008538,0.42032967032967034
390990014,01074062,0.42032967032967034
401159007,01101845,0.42032967032967034
061131003,00277321,0.4230769230769231
100032004,00217270,0.4230769230769231
180910011,00450507,0.4230769230769231
311090022,00835876,0.4230769230769231
390351002,01074030,0.4230769230769231
471570100,01639790,0.4230769230769231
480291069,01383800,0.4230769230769231
471071002,01639773,0.4258241758241758
261630019,01623022,0.42857142857142855
210470006,00516870,0.43131868131868134
340230011,00882230,0.43131868131868134
450410003,01248001,0.43131868131868134
060771002,00277303,0.4340659340659341
120310108,00293656,0.4340659340659341
130510091,01694477,0.4340659340659341
490050007,01448017,0.4340659340659341
490494001,01448038,0.4340659340659341
510870014,01480133,0.4340659340659341
550790026,01581100,0.4340659340659341
551198001,01581119,0.4340659340659341
060450006,00277287,0.4368131868131868
120112003,00295753,0.4368131868131868
132150001,00357428,0.4368131868131868
401210415,01101848,0.4368131868131868
450190049,01252740,0.4368131868131868
410370001,01135854,0.43956043956043955
420850100,01213678,0.43956043956043955
060251003,00277277,0.4423076923076923
060670010,00277298,0.4423076923076923
170830117,00424243,0.4423076923076923
191630020,00465270,0.4423076923076923
260170014,01622951,0.4423076923076923
401091037,01101842,0.4423076923076923
250250042,00606939,0.44505494505494503
391130038,01074069,0.44505494505494503
482150043,01383893,0.44505494505494503
060651016,00277297,0.4478021978021978
040137020,00037026,0.45054945054945056
040213002,00025447,0.45054945054945056
517600025,01789073,0.45054945054945056
530610020,01529222,0.45054945054945056
120710005,00295758,0.4532967032967033
160270002,00399406,0.4532967032967033
180190008,00450340,0.4532967032967033
361030002,00974149,0.4532967032967033
040130019,00037026,0.45604395604395603
371590021,01008583,0.45604395604395603
400790467,01101827,0.45604395604395603
061110009,00277320,0.45879120879120877
390610006,01074043,0.45879120879120877
130950007,00351259,0.46153846153846156
381010003,01034231,0.46153846153846156
390350073,01074030,0.46153846153846156
471130010,01639769,0.46153846153846156
484391006,01384005,0.46153846153846156
180890036,00450495,0.4642857142857143
